id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
919,새우샌드,255kcal,11.00g,29.00g,10.00g,255 ,10,11,
920,신촌 훼드라 라면,440kcal,13.00g,73.00g,8.00g,440 ,8,13,
921,밥말라 부대찌개라면,455kcal,17.00g,66.00g,10.00g,455 ,10,17,
922,햄에그머핀브런치세트,451kcal,15.00g,67.00g,12.00g,451 ,12,15,
923,파르페 딸기,265kcal,9.00g,44.00g,2.00g,265 ,2,9,
924,스파이시치킨 바게트버거,245kcal,5.00g,33.00g,17.00g,245 ,17,5,
925,쫀득한 마카롱 반반딸기,419kcal,19.00g,58.00g,5.00g,419 ,5,19,
926,반반 직화 불고기 정식,682kcal,18.00g,98.00g,32.00g,682 ,32,18,
927,탑티어 불족발덮밥,505kcal,9.00g,75.00g,31.00g,505 ,31,9,
928,쌀떡볶이,535kcal,29.00g,64.00g,5.00g,535 ,5,29,
929,콰트로 치즈나쵸,509kcal,25.00g,65.00g,6.00g,509 ,6,25,
930,백종원 고기만두 호빵,330kcal,12.00g,43.00g,13.00g,330 ,13,12,
931,아몬드 쿠키,409kcal,21.00g,50.00g,5.00g,409 ,5,21,
932,맘모스빵,415kcal,11.00g,71.00g,8.00g,415 ,8,11,
933,새우롤,441kcal,17.00g,64.00g,8.00g,441 ,8,17,
934,불고기버거,290kcal,14.00g,29.00g,10.00g,290 ,10,14,
935,속이꽉찬 햄샌드위치,305kcal,13.00g,38.00g,9.00g,305 ,9,13,
936,제육한끼,516kcal,12.00g,83.00g,19.00g,516 ,19,12,
937,스팸 2배 마요 김밥,421kcal,17.00g,58.00g,9.00g,421 ,9,17,
938,바싹불고기,741kcal,29.00g,93.00g,27.00g,741 ,27,29,
939,닭고기계란덮밥,563kcal,11.00g,94.00g,22.00g,563 ,22,11,
940,아베크까망베르 치즈쿠키,375kcal,21.00g,43.00g,4.00g,375 ,4,21,
941,스팸 김치볶음 밥바,362kcal,14.00g,51.00g,8.00g,362 ,8,14,
942,장조림 버터간장 삼각김밥,168kcal,1.30g,33.00g,6.00g,168 ,6,1,
943,BLT 샌드위치,293kcal,13.00g,33.00g,11.00g,293 ,11,13,
944,짭짤고소 햄참치마요,184kcal,3.50g,33.00g,5.00g,184 ,5,3,
945,백종원 돈까스 롱 김밥,592kcal,28.00g,73.00g,12.00g,592 ,12,28,
946,뻥이요 골드,510kcal,14.00g,91.00g,5.00g,510 ,5,14,
947,7찬매콤불고기 도시락,715kcal,23.00g,94.00g,33.00g,715 ,33,23,
948,허니크림치즈 상하이버거,552kcal,24.00g,64.00g,20.00g,552 ,20,24,
949,몽쉘케이크,374kcal,20.00g,40.00g,4.00g,374 ,4,20,
950,2xl 매콤불고기 삼각김밥,268kcal,4.40g,47.00g,10.00g,268 ,10,4,
951,영양삼각 소고기 표고버섯,194kcal,6.00g,30.00g,5.00g,194 ,5,6,
952,백종원 고기2배 정식,728kcal,20.00g,108.00g,29.00g,728 ,29,20,
953,버터러스크,462kcal,14.00g,75.00g,9.00g,462 ,9,14,
954,비프 치즈 버거,482kcal,26.00g,43.00g,19.00g,482 ,19,26,
955,치킨정식,849kcal,29.00g,115.00g,32.00g,849 ,32,29,
956,초코쿠키,95kcal,5.00g,13.00g,1.00g,95 ,1,5,
957,김수미 그때그맛 돼지갈비찜,180kcal,9.00g,10.00g,16.00g,180 ,16,9,
958,초코칩쿠키,795kcal,38.00g,103.00g,10.00g,795 ,10,38,
