id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
107,신선 야채 김밥,356kcal,8.00g,60.00g,11.00g,356 ,356 ,356 ,
108,리치참치마요,319kcal,7.00g,53.00g,11.00g,319 ,319 ,319 ,
109,햄에그샌드위치,260kcal,12.00g,30.00g,8.00g,260 ,260 ,260 ,
110,수퍼롱 치즈김밥,440kcal,4.30g,88.00g,13.00g,440 ,440 ,440 ,
111,햄치즈에그 토스트,389kcal,17.00g,44.00g,16.00g,389 ,389 ,389 ,
112,쫄깃한 편육,607kcal,43.00g,3.00g,52.00g,607 ,607 ,607 ,
113,깻잎불곱창 삼각김밥,260kcal,8.00g,41.00g,6.00g,260 ,260 ,260 ,
114,불고기버거,576kcal,26.50g,63.50g,20.80g,576 ,576 ,576 ,
115,케이준 치킨 샐러드,185kcal,8.00g,13.00g,6.00g,185 ,185 ,185 ,
116,3단 참치샐러드샌드,370kcal,20.00g,37.00g,10.00g,370 ,370 ,370 ,
117,숯불고기 김밥,422kcal,9.00g,66.00g,18.00g,422 ,422 ,422 ,
118,갈릭 감바스 미니 샐러드,95kcal,4.80g,6.00g,7.00g,95 ,95 ,95 ,
119,Full 깻잎덮은 매콤닭갈비,249kcal,5.00g,44.00g,7.00g,249 ,249 ,249 ,
120,계란말이밥바,300kcal,12.00g,37.00g,11.00g,300 ,300 ,300 ,
121,참치감자짜글이,164kcal,1.80g,32.00g,5.00g,164 ,164 ,164 ,
122,닭고기덮밥,701kcal,21.00g,101.00g,27.00g,701 ,701 ,701 ,
123,닭갈비 철판볶음밥,542kcal,14.00g,93.00g,11.00g,542 ,542 ,542 ,
124,백종원의 열탄불고기 (245g),376kcal,8.00g,60.00g,16.00g,376 ,376 ,376 ,
125,크렌베리스콘,222kcal,9.00g,30.00g,3.00g,222 ,222 ,222 ,
126,닭가슴살샌드위치,386kcal,14.00g,51.00g,14.00g,386 ,386 ,386 ,
127,우유팥빙수,120kcal,1.60g,24.00g,2.00g,120 ,120 ,120 ,
